What is your bid when your value is 10?,What is your bid when your value is 20?,What is your bid when your value is 30?,What is your bid when your value is 40?,What is your bid when your value is 50?,What is your bid when your value is 60?,What is your bid when your value is 70?,What is your bid when your value is 80?,What is your bid when your value is 90?,What is your bid when your value is 100?
5,10,15,20,25,30,35,40,45,50
8,16,25,33,41,50,59,69,79,91
9,17,24,31,38,45,52,59,66,73
10,10,20,20,30,30,40,40,50,60
10,15,20,25,30,35,40,45,50,55
9,18,28,38,47,56,65,74,83,92
8,16,24,32,40,48,56,70,80,85
0,11,16,21,26,31,36,41,46,51
10,10,15,20,25,30,35,40,45,50
9,16,25,34,42,53,61,74,82,92
9,15,23,34,42,54,62,71,84,93
5,10,15,20,25,30,35,40,45,50
0,10,15,20,25,30,35,40,45,50
5.1,10.1,15.1,20.1,25.1,30.1,35.1,40.1,45.1,50.1
9,19,29,39,49,59,69,79,89,99
10,15,20,25,30,35,40,45,50,55
9,11,21,21,31,31,41,41,51,51
5,10,15,20,25,30,35,40,45,50
9,11,11,21,21,31,31,41,41,51
10,15,20,25,30,35,40,45,50,55
1,11,21,31,41,51,61,71,81,91
9,11,21,31,41,51,55,60,65,70
9,19,29,39,49,59,69,79,89,99
10,20,30,40,50,60,70,80,90,100
10,20,30,40,50,60,70,80,90,100
9,18,27,36,45,54,63,72,81,90
